S265Swp
IMP=ohm,,MAVE=27
MEMO=FE83NV_1M1W_NO.1
DATE=2022/01/12 09:36:38
FREQ , SPL, Imp, Phs, 2nd, 3rd
 3162.28, 84.400,  8.966,173.400, 32.690, 36.250
 3208.12, 84.480,  9.007,176.000, 32.390, 36.870
 3254.62, 84.650,  9.049,172.600, 32.240, 37.850
 3301.79, 84.760,  9.091,179.800, 32.070, 38.570
 3349.65, 84.320,  9.133,-175.000, 31.530, 38.470
 3398.21, 84.420,  9.175,172.200, 30.840, 37.510
 3447.47, 84.850,  9.206,-178.200, 30.880, 36.220
 3497.44, 84.300,  9.249,-172.800, 30.920, 35.450
 3548.13, 83.560,  9.281,-177.600, 30.010, 35.230
 3599.56, 83.670,  9.324,176.400, 29.150, 34.640
 3651.74, 83.720,  9.367,177.600, 28.990, 33.480
 3704.67, 83.800,  9.410,173.200, 29.080, 32.630
 3758.37, 84.770,  9.443,167.800, 29.520, 32.400
 3812.85, 85.450,  9.663,173.200, 35.040, 35.700
 3868.12, 80.210,  9.302,176.800, 38.680, 35.060
 3924.19, 69.030,  8.339, 10.800, 28.680, 22.450
 3981.07, 62.320,  7.845,-142.200, 16.570, 12.350
 4038.78, 67.080,  7.982,-74.400, 19.700, 16.830
 4097.32, 78.110,  8.925,-177.600, 31.820, 28.430
 4156.71, 84.080,  9.752,-176.600, 34.460, 33.660
 4216.97, 84.210,  9.842,-175.400, 31.950, 33.450
 4278.09, 84.100,  9.899,178.000, 31.940, 34.100
 4340.10, 84.700,  9.945,172.000, 31.360, 34.900
 4403.01, 85.330,  9.991,174.600, 31.110, 35.400
 4466.84, 85.860, 10.037,171.200, 31.810, 35.790
 4531.58, 86.660, 10.083,172.200, 32.990, 36.410
 4597.27, 87.270, 10.141,-179.400, 33.840, 36.890
 4663.91, 87.240, 10.188,-174.600, 34.240, 36.440
 4731.51, 86.990, 10.247,-173.000, 34.610, 35.810
 4800.10, 86.630, 10.306,-168.600, 34.830, 36.400
 4869.68, 86.120, 10.354,-167.600, 34.900, 37.310
 4940.26, 85.980, 10.401,-174.200, 35.320, 37.610
 5011.87, 85.940, 10.461,-168.400, 35.590, 37.970
 5084.52, 85.960, 10.522,-175.800, 34.990, 38.440
 5158.22, 86.300, 10.570,-173.600, 33.910, 38.430
 5232.99, 86.640, 10.631,-172.800, 33.150, 37.990
 5308.84, 86.840, 10.693,-171.400, 32.890, 37.670
 5385.80, 86.970, 10.754,-169.400, 32.390, 37.330
 5463.87, 86.950, 10.817,-166.000, 31.390, 36.870
 5543.07, 86.870, 10.879,-166.400, 30.540, 36.850
 5623.41, 86.680, 10.954,-162.400, 30.120, 37.110
 5704.93, 86.330, 11.018,-163.600, 29.690, 36.920
 5787.62, 86.100, 11.081,-165.800, 28.990, 36.490
 5871.51, 86.250, 11.158,-167.800, 28.240, 36.190
 5956.62, 86.820, 11.223,-172.800, 27.680, 36.070
 6042.96, 87.600, 11.300,-171.400, 27.000, 36.210
 6130.56, 88.270, 11.379,-165.600, 25.280, 36.250
 6219.42, 88.440, 11.458,-160.400, 22.400, 35.980
 6309.57, 88.170, 11.537,-153.600, 21.580, 35.630
 6401.03, 87.770, 11.617,-151.200, 25.220, 34.980
 6493.82, 87.360, 11.697,-150.600, 30.130, 34.170
 6587.95, 87.200, 11.765,-150.400, 33.110, 33.820
 6683.44, 87.300, 11.819,-149.800, 34.510, 33.570
 6780.32, 87.340, 11.874,-145.200, 35.190, 33.060
 6878.60, 87.100, 11.929,-141.800, 35.150, 32.780
